accommodates,beds,bathrooms,number_of_reviews,review_scores_rating,neighbourhood_cleansed,tipologia,host_is_superhost,price,atratividade_bairro,dist_centro_km
2,1.0,1.0,241,4.88,Estrela,T0,t,75.0,4,1.829222581434672
2,1.0,1.0,184,4.74,Misericórdia,T0,t,120.0,5,0.9155318531025133
3,1.0,1.0,18,4.67,Parque das Nações,T0,f,146.0,3,8.241458501693522
2,2.0,1.0,49,4.63,Arroios,T0,f,110.0,3,2.498691371610805
3,1.0,1.0,563,4.96,Misericórdia,T0,t,124.0,5,1.1100006851748303
2,1.0,1.0,198,4.49,Santa Maria Maior,T0,f,55.0,5,0.7458278439776023
2,1.0,1.0,40,4.85,Penha de França,T0,f,52.0,2,2.5034534957008763
2,1.0,1.0,313,4.58,Estrela,T0,t,36.0,4,3.2261438741121564
2,1.0,1.0,37,4.89,Santa Maria Maior,T0,f,72.0,5,0.9428651190935623
2,1.0,1.0,434,4.93,Santo António,T0,t,64.0,5,2.158888516009057
2,2.0,1.0,233,4.7,Santa Maria Maior,T0,t,99.0,5,0.8661929043790652
2,1.0,1.0,379,4.94,Santa Maria Maior,T0,t,119.0,5,0.530486102086965
2,1.0,1.0,444,4.86,São Vicente,T0,t,50.0,4,1.769211806524435
2,1.0,1.0,233,4.51,Arroios,T0,f,51.0,3,1.1562209959530165
4,4.0,1.0,369,4.6,Arroios,T0,t,43.0,3,0.967987633117903
2,1.0,1.0,359,4.84,São Vicente,T0,t,57.0,4,1.248013868792359
4,3.0,1.0,166,4.96,Misericórdia,T0,t,95.0,5,0.9768074163177751
4,2.0,1.0,303,4.72,Misericórdia,T0,f,74.0,5,0.8425748074512979
2,2.0,1.0,469,4.87,Santa Maria Maior,T0,t,70.0,5,0.8598710888614288
2,1.0,1.0,240,4.42,Estrela,T0,f,58.0,4,1.5884202952640525
2,1.0,1.0,337,4.41,Misericórdia,T0,f,62.0,5,1.6447914822146041
2,2.0,1.0,28,4.43,Misericórdia,T0,f,61.0,5,1.3434966421246812
2,2.0,1.0,363,4.64,Misericórdia,T0,f,46.0,5,1.4173318627367544
4,2.0,1.0,191,4.4,Misericórdia,T0,f,59.0,5,1.4485496483138365
2,1.0,1.0,365,4.5,Misericórdia,T0,f,56.0,5,1.4353361125129134
2,1.0,1.0,337,4.63,Misericórdia,T0,f,64.0,5,1.114542031223477
2,1.0,1.0,286,4.81,Santa Maria Maior,T0,t,58.0,5,0.9758901901433122
3,2.0,1.0,437,4.83,São Domingos de Benfica,T0,t,53.0,1,5.358601217016284
2,1.0,1.0,254,4.57,Arroios,T0,f,46.0,3,1.981987260141583
2,4.0,1.0,282,4.65,Arroios,T0,f,61.0,3,1.4732758248810862
2,1.0,1.0,51,4.73,Avenidas Novas,T0,f,96.0,3,4.528226081368537
1,1.0,1.0,165,4.56,Misericórdia,T0,t,55.0,5,1.2333227841246408
2,1.0,1.0,380,4.92,Misericórdia,T0,t,85.0,5,1.0206145845951906
2,1.0,1.0,336,4.67,Santa Maria Maior,T0,t,40.0,5,1.00104153969096
2,1.0,1.0,242,4.6,Santa Maria Maior,T0,f,53.0,5,0.744095578484666
2,1.0,1.0,402,4.91,Misericórdia,T0,t,92.0,5,1.4345531382281405
2,1.0,1.0,306,4.61,Arroios,T0,f,45.0,3,1.473448770886179
2,1.0,1.0,312,4.68,Misericórdia,T0,f,77.0,5,0.9384255258303024
2,1.0,1.0,179,4.71,Santo António,T0,t,100.0,5,1.6103193552058934
2,1.0,1.0,82,4.7,Arroios,T0,t,67.0,3,1.8859058930033443
2,1.0,1.0,2,5.0,Misericórdia,T0,f,132.0,5,1.0237698772899524
2,2.0,1.0,366,4.67,Santa Maria Maior,T0,f,84.0,5,0.49799340215436927
2,2.0,1.0,292,4.69,Santa Maria Maior,T0,f,84.0,5,0.5696133487885385
2,2.0,1.0,306,4.7,Santa Maria Maior,T0,f,84.0,5,0.49799340215436927
2,2.0,1.0,292,4.74,Santa Maria Maior,T0,f,84.0,5,0.49799340215436927
2,1.0,1.0,102,4.93,Misericórdia,T0,f,65.0,5,1.3371070968939223
2,1.0,1.0,219,4.84,Arroios,T0,t,54.0,3,1.2607246852888474
2,1.0,1.0,181,4.76,Santa Maria Maior,T0,f,85.0,5,0.9047071523893959
4,2.0,0.0,0,4.6152753108348135,Olivais,T0,f,80.0,2,8.433788410549466
2,1.0,1.0,239,4.79,Santa Maria Maior,T0,t,67.0,5,1.1903300952497646
2,1.0,1.0,135,4.76,São Vicente,T0,t,62.0,4,1.744851330587384
2,1.0,1.0,341,4.62,Santa Maria Maior,T0,f,54.0,5,0.5582531536377011
2,1.0,1.0,271,4.41,Santa Maria Maior,T0,f,64.0,5,0.7619776391420423
2,1.0,1.0,280,4.5,Santa Maria Maior,T0,f,64.0,5,0.7804470576336109
3,2.0,1.0,43,4.79,Misericórdia,T0,f,85.0,5,1.590253263001267
2,1.0,1.0,215,4.65,Misericórdia,T0,f,63.0,5,1.7000839170517912
3,1.0,1.0,145,4.81,Misericórdia,T0,t,75.0,5,1.3141552449305078
2,1.0,1.0,22,4.45,São Domingos de Benfica,T0,f,79.0,1,5.321091288847887
2,1.0,1.0,275,4.4,Santa Maria Maior,T0,f,58.0,5,0.7645378819727706
